time,Frequency
79.806,787.183
79.941,787.183
80.081,661.115
80.213,656.539
80.353,661.014
80.486,661.014
80.597,662.474
80.714,589.960
80.815,588.377
80.954,588.583
81.087,587.725
81.204,588.429
81.321,585.323
81.461,585.323
81.597,585.323
81.737,589.023
81.840,587.567
81.980,294.493
82.116,660.631
82.256,658.240
82.385,661.868
82.495,658.981
82.627,658.981
82.767,588.761
82.906,588.761
83.046,588.761
83.187,589.779
83.327,589.779
83.466,589.779
83.606,589.779
83.721,589.779
83.857,589.275
83.996,589.635
84.118,587.526
84.256,97.863
84.396,97.863
84.536,97.863
84.673,97.863
84.806,97.863
